Date;Close;Open;High;Low;Volume
05.07.2023; $42,32 ; $42,14 ; $43,18 ; $42,09 ;323 617 560
06.07.2023; $42,10 ; $41,84 ; $42,18 ; $41,35 ;304 138 790
07.07.2023; $42,50 ; $42,32 ; $43,21 ; $42,18 ;355 881 470
10.07.2023; $42,18 ; $42,66 ; $42,81 ; $41,65 ;353 908 110
11.07.2023; $42,41 ; $42,48 ; $42,76 ; $42,07 ;298 244 060
12.07.2023; $43,90 ; $43,03 ; $43,94 ; $42,78 ;481 277 020
13.07.2023; $45,98 ; $44,52 ; $46,16 ; $44,49 ;478 203 690
14.07.2023; $45,47 ; $46,58 ; $48,09 ; $45,06 ;772 075 330
17.07.2023; $46,46 ; $46,29 ; $46,50 ; $45,26 ;510 488 220
18.07.2023; $47,49 ; $46,70 ; $47,90 ; $45,73 ;570 190 420
19.07.2023; $47,08 ; $47,46 ; $47,82 ; $46,74 ;427 501 790
20.07.2023; $45,52 ; $46,51 ; $47,09 ; $45,06 ;537 864 510
21.07.2023; $44,31 ; $45,79 ; $45,87 ; $44,10 ;963 768 630
24.07.2023; $44,61 ; $44,73 ; $45,11 ; $44,04 ;383 099 740
25.07.2023; $45,68 ; $44,94 ; $46,18 ; $44,92 ;348 080 910
26.07.2023; $45,45 ; $46,02 ; $46,05 ; $44,63 ;364 237 260
27.07.2023; $45,90 ; $46,52 ; $47,40 ; $45,75 ;455 975 520
28.07.2023; $46,75 ; $46,67 ; $47,03 ; $46,38 ;331 194 240
31.07.2023; $46,73 ; $46,75 ; $47,13 ; $46,51 ;251 055 280
01.08.2023; $46,51 ; $46,46 ; $46,90 ; $46,03 ;239 275 970
02.08.2023; $44,27 ; $45,83 ; $45,84 ; $43,39 ;530 141 570
03.08.2023; $44,52 ; $43,80 ; $45,12 ; $43,80 ;325 076 600
04.08.2023; $44,68 ; $44,99 ; $45,64 ; $44,39 ;362 666 180
07.08.2023; $45,42 ; $45,11 ; $45,54 ; $44,56 ;322 153 540
08.08.2023; $44,66 ; $44,85 ; $45,24 ; $44,06 ;353 843 430
09.08.2023; $42,55 ; $44,27 ; $44,31 ; $42,13 ;586 449 070
10.08.2023; $42,39 ; $42,16 ; $43,57 ; $41,84 ;492 705 300
11.08.2023; $40,86 ; $41,75 ; $42,02 ; $40,64 ;533 085 260
14.08.2023; $43,75 ; $40,49 ; $43,80 ; $40,31 ;690 285 830
